image_id,text
MatAn-Apr03-01,возрастает возле Формула Стирлинга в Ом 1-ви п Стирлинга: Формула Подставим ФлаЭйлера-Маккорена
MatAn-Apr03-02,"1-то(1) Ищем С. Знаем, что"
MatAn-Apr03-03,"Мопсио считать, Берем Скугай 2 Существ. переменной Схуай Существ. Я Теорема ПВ тогда суще Существ. Г-эв- проверин ССА) Тогда возьмем В что С-в возьмем Кр Мопсио считать, считать, что С-во"
MatAn-Apr03-04,Ях прид-х Д-во: ОС С Иррациональность Н) - 2 2 . Если Н; ---- -2)
MatAn-Apr03-05,"Ротивор Теорема ационально, Миррациональной 5. Существо Ламберт"
MatAn-Apr03-06,"К-компакт по крыв подходит Возьмем ае к каким-то эх-л Выберем подпокрытие Тогда существ. Эх-лл что П Д-во, И. конечное покрытия покрытие Проверим, Рассм . Нае К шар Эх-ли покрытия Рассм. хе"
MatAn-Apr03-07,противор откр Почти Поткр покрытие противного конечное Теорем не пусто 772 Кл подиокр. пересечение (Х1 К) ф их коняшое -) К Кх-За Извлечем компа
MatAn-Apr03-08,"РФА пересеч К -вполне Назовем это покрытия это пересеч Н биодиокр. метрич УЕБА б"", лишь какой-то бл - пр Ив К-компакт А 2 Назове Назовем Возьмеш противного Возьмем .Е, конечная бз - Колешая И., у Ограничено, Аз И. покрыв. лишь Георем беск. как-вош покрыв. кошшого Пусть Конечная Возьмем"
MatAn-Apr03-09,"все не покрыв, Возьмем (х, Ук) 41 Ик. щесть. Есть Ап-1 больших п последовать покрыв. Тогда при покрыто Кошчмым -) (0 СА-но, Су ФулдаМ если каким-то Кол-ван Их И."
MatAn-Apr03-10,"правиосильи вопр Георема Следствие Ограничено полное 2) К- Секвен вполне Сир-ва 1) Компакт 3) К-вполие -полное ше ар. 38 У. Компакт След усл коми полиота огранич. пограничено, и Замкнуто пр Д-во: Под ) К-Кошиакт Следствие 1. - - - пр-во полного ) К-компакт Секвен полио Комиакт равио правилось полного равнос шетр пр-во, СХЕДствие ограничено Хау с дорф а К-компакт К- вполне метрич"
MatAn-Dec04-01,"Домножим По ф-ле с остатком в Пусть т. . . т- противного в форме Теорема противоречие Тейлора т,пелв . Е - 5(х)-ехр х на п! иррациональной т. - т. п.1), Д-во: От Лаграижа"
